<meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>
<meta message set_tempo tempo=461530 time=0>
<meta message end_of_track time=211968>
<meta message track_name name='STRINGS' time=0>
note_on 0 86 96 0 
note_off 0 86 0 322 
note_off 0 76 0 6 
note_on 0 86 90 56 
note_on 0 76 80 0 
note_off 0 76 0 336 
note_off 0 86 0 0 
note_on 0 86 96 48 
note_on 0 76 80 0 
note_off 0 76 0 336 
note_off 0 86 0 0 
note_on 0 86 96 48 
note_on 0 76 96 0 
note_off 0 76 0 166 
note_off 0 86 0 0 
note_on 0 85 92 26 
note_on 0 76 90 0 
note_off 0 76 0 144 
note_off 0 85 0 12 
note_on 0 81 85 36 
note_off 0 81 0 192 
note_on 0 86 97 0 
note_on 0 81 85 192 
note_off 0 86 0 2 
note_off 0 81 0 186 
note_on 0 85 96 4 
note_on 0 81 90 192 
note_off 0 85 0 38 
note_on 0 86 107 154 
note_off 0 81 0 2 
note_on 0 81 105 190 
note_off 0 86 0 34 
note_off 0 81 0 132 
note_on 0 85 100 26 
note_off 0 85 0 144 
note_on 0 69 107 48 
note_off 0 69 0 80 
note_on 0 69 107 112 
note_off 0 69 0 82 
note_on 0 69 107 110 
note_off 0 69 0 98 
note_on 0 69 106 94 
note_off 0 69 0 480 
note_on 0 81 48 288 
note_off 0 81 0 550 
note_on 0 79 44 26 
note_off 0 79 0 64 
note_on 0 78 44 6 
note_off 0 78 0 64 
note_on 0 76 45 10 
note_on 0 74 49 48 
note_off 0 76 0 16 
note_off 0 74 0 80 
note_on 0 83 45 288 
note_off 0 83 0 96 
note_on 0 79 52 288 
note_off 0 79 0 96 
note_on 0 76 49 288 
note_off 0 76 0 96 
note_on 0 81 47 288 
note_off 0 81 0 384 
note_on 0 78 44 384 
note_off 0 78 0 528 
note_on 0 76 45 48 
note_on 0 74 45 70 
note_off 0 76 0 26 
note_off 0 74 0 38 
note_on 0 73 44 10 
note_on 0 71 44 48 
note_off 0 73 0 16 
note_off 0 71 0 176 
note_on 0 79 46 192 
note_off 0 79 0 192 
note_on 0 78 48 192 
note_off 0 78 0 768 
note_on 0 76 45 0 
note_off 0 76 0 328 
note_on 0 81 74 632 
note_off 0 81 0 96 
note_on 0 81 64 96 
note_off 0 81 0 96 
note_on 0 81 64 96 
note_off 0 81 0 96 
note_on 0 81 64 96 
note_off 0 81 0 96 
