<meta message set_tempo tempo=500000 time=0>
<meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>
<meta message end_of_track time=108702>
<meta message track_name name='A.PIANO 1' time=0>
control_change 0 64 0 78 
note_off 0 59 0 20 
control_change 0 64 127 190 
note_off 0 57 0 84 
note_on 0 59 23 200 
control_change 0 64 0 514 
control_change 0 64 127 282 
note_off 0 43 0 144 
note_off 0 67 0 4 
note_off 0 59 0 10 
note_off 0 62 0 0 
note_off 0 55 0 44 
note_on 0 71 45 898 
note_on 0 55 20 58 
note_on 0 62 34 368 
control_change 0 64 0 74 
control_change 0 64 127 108 
note_off 0 62 0 170 
note_on 0 64 51 14 
note_on 0 54 36 34 
note_on 0 66 67 346 
note_off 0 64 0 72 
note_on 0 67 68 310 
note_off 0 66 0 34 
note_on 0 52 37 0 
note_off 0 54 0 64 
note_off 0 55 0 8 
control_change 0 64 0 56 
control_change 0 64 127 136 
note_on 0 72 90 32 
note_off 0 71 0 16 
note_on 0 59 51 4 
note_on 0 74 83 400 
note_off 0 72 0 14 
note_on 0 60 71 6 
note_on 0 50 40 18 
note_off 0 59 0 56 
control_change 0 64 0 20 
note_off 0 52 0 106 
note_on 0 72 91 6 
control_change 0 64 127 22 
note_off 0 74 0 30 
note_off 0 72 0 154 
note_on 0 74 75 0 
note_on 0 62 49 4 
control_change 0 64 0 58 
note_off 0 60 0 14 
control_change 0 64 127 96 
note_on 0 71 68 26 
note_off 0 74 0 32 
note_off 0 62 0 34 
note_off 0 71 0 44 
note_on 0 69 75 142 
note_on 0 49 46 6 
note_on 0 64 45 10 
note_off 0 50 0 54 
control_change 0 64 0 46 
note_off 0 67 0 178 
control_change 0 64 127 6 
note_on 0 67 71 182 
note_off 0 64 0 226 
note_on 0 66 66 156 
note_on 0 54 54 2 
note_on 0 62 49 14 
note_off 0 67 0 30 
control_change 0 64 0 42 
note_off 0 49 0 38 
control_change 0 64 127 72 
note_off 0 62 0 38 
note_on 0 61 47 150 
note_on 0 64 76 0 
note_off 0 66 0 12 
note_off 0 64 0 196 
note_off 0 61 0 138 
note_on 0 66 60 24 
note_on 0 59 45 18 
note_on 0 51 41 4 
note_off 0 54 0 78 
note_off 0 69 0 70 
note_on 0 72 79 26 
control_change 0 64 0 96 
note_on 0 71 69 114 
control_change 0 64 127 8 
note_off 0 72 0 10 
note_off 0 71 0 58 
note_on 0 69 87 106 
note_off 0 69 0 250 
note_on 0 63 37 26 
note_on 0 67 72 4 
note_on 0 47 32 30 
note_off 0 51 0 22 
note_off 0 66 0 36 
control_change 0 64 0 60 
note_on 0 69 54 242 
note_off 0 67 0 38 
control_change 0 64 127 102 
note_on 0 66 53 80 
note_off 0 59 0 18 
note_off 0 69 0 20 
note_on 0 67 66 220 
note_on 0 59 33 14 
note_on 0 52 32 12 
note_off 0 63 0 26 
note_off 0 47 0 12 
control_change 0 64 0 52 
control_change 0 64 127 332 
note_off 0 66 0 254 
note_off 0 52 0 38 
note_on 0 54 31 44 
note_on 0 63 50 4 
control_change 0 64 0 78 
control_change 0 64 127 136 
note_on 0 66 52 0 
note_off 0 63 0 80 
note_on 0 64 58 140 
note_off 0 67 0 26 
note_off 0 66 0 14 
note_off 0 59 0 80 
note_on 0 63 71 42 
note_off 0 64 0 18 
note_off 0 63 0 112 
note_on 0 64 81 86 
note_on 0 55 46 28 
note_on 0 59 36 0 
note_off 0 54 0 18 
control_change 0 64 0 338 
note_on 0 71 67 2 
note_off 0 64 0 52 
control_change 0 64 127 120 
note_off 0 59 0 42 
note_off 0 71 0 10 
note_off 0 55 0 120 
note_on 0 69 70 20 
note_on 0 60 29 20 
note_on 0 57 25 22 
note_on 0 64 34 8 
control_change 0 64 0 250 
note_on 0 67 65 54 
note_off 0 69 0 58 
control_change 0 64 127 60 
note_on 0 66 59 120 
note_off 0 67 0 4 
note_off 0 60 0 4 
note_off 0 66 0 96 
note_off 0 57 0 32 
note_on 0 66 43 86 
note_on 0 59 38 14 
note_off 0 64 0 114 
note_on 0 64 60 246 
control_change 0 64 0 82 
control_change 0 64 127 62 
note_off 0 64 0 94 
note_on 0 63 54 70 
note_on 0 57 36 42 
note_off 0 63 0 2 
note_off 0 59 0 2 
note_on 0 64 37 34 
note_on 0 63 50 30 
note_off 0 64 0 28 
control_change 0 64 0 66 
control_change 0 64 127 74 
note_on 0 61 49 148 
note_off 0 63 0 46 
note_off 0 66 0 100 
